CardNumber,ExpirationDate,NameOfCardholder
5410000000000000,3/20/2030,Alice
4120000000000,3/24/2030,Bob
341000000000000,5/20/2030,John
6011000000000000,5,6,2030,Mark
6010000000000000,6/20/2030,Richard
54100000000aw000,31/20/2030,Alice
541000000@000!000,3/20/2030,Alice
,3/20/2030,Alice
5410000000000000,Alice
5410000000000000,3/20/2030,
5410000000000000,3/20/2030
5410000000000000,3/20/2030,1231213
5410000000000000,123123123,Alice
5710000000000000,3/20/2030,Alice
351000000000000,3/20/2030,Alice
3410000000000000,3/20/2030,Alice
601100000000000,3/20/2030,Alice
